Planet,RA (deg),Dec (deg),Altitude (deg),Azimuth (deg)
MERCURY,40.78827732131266,18.54516946593817,-24.54746599403722,62.76557014800573
VENUS,353.1022712990029,-4.464146717751298,14.829268828813689,98.03905317638798
MARS,297.89775014716315,-21.980181638477568,51.192709182514534,151.89574903976157
JUPITER,130.85903192250333,19.04422181832294,-45.879122446059746,314.7659799666109
SATURN,84.00544749525633,22.3745035753914,-52.20961301548334,23.515092201480435
URANUS,333.94288755269304,-11.55993937688409,30.790398730490775,111.61476059828173
NEPTUNE,315.3439939106346,-16.92436066825383,43.96786305197889,128.60630336276398
